# generated by packages/claude-code/extract-env-registry.py from Claude Code cli.js 2.1.259
# regenerate: nix build .#claude-code.envRegistry && cp result packages/claude-code/env-registry.tsv
# name	type	module
BAT_THEME	str()	3
BETA_TRACING_ENDPOINT	str()	1
BROWSER	str()	3
BUILDKITE	str()	3
BUN_CHROME_PATH	str()	3
BUN_CONFIG_FILE	str()	3
BUN_INSTALL	str()	3
CARGO_HOME	str()	3
CARGO_HTTP_CAINFO	str()	3
CCR_AGENT_PROXY_ENABLED	bool()	7
CCR_AGENT_PROXY_FRAME_HOSTS	str()	7
CCR_AGENT_PROXY_INCLUDE_HOSTS	str()	7
CCR_AGENT_PROXY_RECEIVE_GATE_DISABLED	bool()	7
CCR_AGENT_PROXY_RELAY_MODE	str()	7
CCR_AGENT_PROXY_UPLOAD_GATE_DISABLED	bool()	7
CCR_ENABLE_BUNDLE	bool()	7
CCR_FORCE_BUNDLE	bool()	7
CCR_ON_BRANCH_DEFAULT_GUARD	enum(["enforce","observe","off"])	7
CCR_SESSION_PROFILE	bool()	4
CF_PAGES	str()	3
CIRCLECI	str()	3
CLAUBBIT	bool()	4
CLAUDECODE	bool()	4
CLAUDE_AFK_COUNTDOWN_MS	int()	4
CLAUDE_AFK_TIMEOUT_MS	int()	4
CLAUDE_AFTER_LAST_COMPACT	str()	4
CLAUDE_AGENTS_SELECT	str()	4
CLAUDE_AGENT_SDK_CLIENT_APP	str()	4
CLAUDE_AGENT_SDK_DISABLE_BUILTIN_AGENTS	bool()	4
CLAUDE_AGENT_SDK_MCP_NO_PREFIX	bool()	4
CLAUDE_AGENT_SDK_VERSION	str()	4
CLAUDE_ASYNC_AGENT_STALL_TIMEOUT_MS	int({min:1,max:2147483647,digitsOnly:!0})	4
CLAUDE_AUTOCOMPACT_PCT_OVERRIDE	str()	4
CLAUDE_AUTO_BACKGROUND_TASKS	bool()	4
CLAUDE_AX_PREPARK_MS	int({min:0})	2
CLAUDE_AX_SCREEN_READER	?	2
CLAUDE_AX_STARTUP_QUIET_MS	int({min:0})	2
CLAUDE_BASH_MAINTAIN_PROJECT_WORKING_DIR	bool()	4
CLAUDE_BG_AUTH_SNAPSHOT_PATH	str()	4
CLAUDE_BG_BACKEND	str()	4
CLAUDE_BG_CLAIM_AUTH	str()	4
CLAUDE_BG_DISPATCHER_RATE_LIMIT_TIER	str()	4
CLAUDE_BG_DISPATCHER_SUBSCRIPTION_TYPE	str()	4
CLAUDE_BG_ISOLATION	str()	4
CLAUDE_BG_MEMORY_TOGGLED_OFF	str()	4
CLAUDE_BG_POST_CLEAR_RESPAWN	bool()	4
CLAUDE_BG_PTY_AUTH	str()	4
CLAUDE_BG_RENDEZVOUS_SOCK	str()	4
CLAUDE_BG_RV_AUTH	str()	4
CLAUDE_BG_SESSION_PERMISSION_RULES	str()	4
CLAUDE_BG_SOCKET_TOKENS_PATH	str()	4
CLAUDE_BG_SOURCE	str()	4
CLAUDE_BG_STARTUP_WEDGE_MS	int()	4
CLAUDE_BG_TCC_DISCLAIMED	str()	4
CLAUDE_BRIDGE_BASE_URL	str()	4
CLAUDE_BRIDGE_OAUTH_TOKEN	str()	4
CLAUDE_BRIDGE_REATTACH_GROUPING	str()	4
CLAUDE_BRIDGE_REATTACH_NO_BACKFILL	bool()	4
CLAUDE_BRIDGE_REATTACH_OUTBOUND_ONLY	bool()	4
CLAUDE_BRIDGE_REATTACH_OWNER_ACCT	str()	4
CLAUDE_BRIDGE_REATTACH_OWNER_ORG	str()	4
CLAUDE_BRIDGE_REATTACH_SEQ	int()	4
CLAUDE_BRIDGE_REATTACH_SESSION	str()	4
CLAUDE_BRIDGE_SESSION_INGRESS_URL	str()	4
CLAUDE_BYTE_STREAM_IDLE_TIMEOUT_MS	int({min:1})	6
CLAUDE_CHROME_CLASSIFIER_FLOOR	triBool()	2
CLAUDE_CHROME_PERMISSION_MODE	str()	4
CLAUDE_CLIENT_PRESENCE_FILE	str()	4
CLAUDE_CODE_3P_PROBE_WROTE_OPUS_DEFAULT	str()	5
CLAUDE_CODE_3P_PROBE_WROTE_SONNET_DEFAULT	str()	5
CLAUDE_CODE_ACCESSIBILITY	bool()	2
CLAUDE_CODE_ACCOUNT_TAGGED_ID	str()	0
CLAUDE_CODE_ACCOUNT_UUID	str()	0
CLAUDE_CODE_ACTION	str()	4
CLAUDE_CODE_ACT_DONT_REDERIVE	triBool()	2
CLAUDE_CODE_ADDITIONAL_DIRECTORIES_CLAUDE_MD	str()	4
CLAUDE_CODE_ADDITIONAL_PROTECTION	bool()	4
CLAUDE_CODE_ADOPT_UNDERIVABLE_PARKED_PERMISSION	bool()	4
CLAUDE_CODE_AGENT	str()	4
CLAUDE_CODE_AGENT_PROXY_GH_SHIM	bool()	7
CLAUDE_CODE_AGENT_PROXY_GIT_CONFIG	bool()	7
CLAUDE_CODE_ALT_SCREEN_FULL_REPAINT	bool()	2
CLAUDE_CODE_ALWAYS_ENABLE_EFFORT	bool()	5
CLAUDE_CODE_AMBER_ASTROLABE	bool()	2
CLAUDE_CODE_API_BASE_URL	str()	7
CLAUDE_CODE_API_KEY_FILE_DESCRIPTOR	str()	0
CLAUDE_CODE_API_KEY_HELPER_TTL_MS	int()	0
CLAUDE_CODE_ARTIFACT	str()	4
CLAUDE_CODE_ARTIFACTS_API_BASE_URL	str()	4
CLAUDE_CODE_ARTIFACTS_API_TOKEN	str()	4
CLAUDE_CODE_ARTIFACT_ASSETS	triBool()	2
CLAUDE_CODE_ARTIFACT_ASSET_BASE_URL	str()	4
CLAUDE_CODE_ARTIFACT_AUTO_OPEN	str()	4
CLAUDE_CODE_ARTIFACT_COMMENTS	triBool()	2
CLAUDE_CODE_ARTIFACT_COMMENTS_AUTOREACT	triBool()	2
CLAUDE_CODE_ARTIFACT_COMMENT_FAST_ACK	triBool()	2
CLAUDE_CODE_ARTIFACT_COMMENT_FAST_ACK_FIXED	triBool()	2
CLAUDE_CODE_ARTIFACT_COMMENT_RESPONDER	triBool()	2
CLAUDE_CODE_ARTIFACT_DB	triBool()	2
CLAUDE_CODE_ARTIFACT_DELETE	triBool()	2
CLAUDE_CODE_ARTIFACT_LIVE_BASE_URL	str()	4
CLAUDE_CODE_ARTIFACT_MULTI_FILE	triBool()	2
CLAUDE_CODE_ARTIFACT_OPEN_ACTION	triBool()	2
CLAUDE_CODE_ARTIFACT_PIN	triBool()	2
CLAUDE_CODE_ARTIFACT_PRESENCE	triBool()	2
CLAUDE_CODE_ARTIFACT_PREVIEW	triBool()	2
CLAUDE_CODE_ARTIFACT_ROOM	triBool()	2
CLAUDE_CODE_ARTIFACT_SYNC_BASE_URL	str()	4
CLAUDE_CODE_ARTIFACT_TOOLSET	triBool()	2
CLAUDE_CODE_ARTIFACT_TYPES	triBool()	2
CLAUDE_CODE_ARTIFACT_TYPE_CATALOG	triBool()	2
CLAUDE_CODE_ARTIFACT_TYPE_CLOUD_CREATE	triBool()	2
CLAUDE_CODE_ARTIFACT_VERIFY	triBool()	2
CLAUDE_CODE_ARTIFACT_VIEWER_BASE_URL	str()	4
CLAUDE_CODE_ATTRIBUTION_HEADER	str()	6
CLAUDE_CODE_AUTH_FAIL_EXIT_MS	int({min:0})	0
CLAUDE_CODE_AUTO_BACKGROUND_WORKER_CHECKIN_SECONDS	int({min:1,max:86400,digitsOnly:!0})	4
CLAUDE_CODE_AUTO_COMPACT_WINDOW	str()	4
CLAUDE_CODE_AUTO_CONNECT_IDE	triBool()	2
CLAUDE_CODE_AUTO_MODE_EXTERNAL_PERMISSIONS	bool()	4
CLAUDE_CODE_AUTO_MODE_MODEL	str()	5
CLAUDE_CODE_AWS_CHAIN_RESOLVE_TIMEOUT_MS	int({min:1,max:2147483647})	0
CLAUDE_CODE_BASALT_COVE	bool()	2
CLAUDE_CODE_BASE_REF	str()	4
CLAUDE_CODE_BASE_REFS	str()	4
CLAUDE_CODE_BASH_OUTPUT_AUDIENCE_NOTE	triBool()	2
CLAUDE_CODE_BASH_SANDBOX_SHOW_INDICATOR	bool()	2
CLAUDE_CODE_BENCH_LIVE_COUNTS	bool()	1
CLAUDE_CODE_BG_CLASSIFIER_MODEL	str()	5
CLAUDE_CODE_BG_TASKS_REPORT_RUNNING	bool()	2
CLAUDE_CODE_BISON_CAIRN	triBool()	2
CLAUDE_CODE_BLOCKING_LIMIT_OVERRIDE	str()	4
CLAUDE_CODE_BREEZY_HORIZON	str()	2
CLAUDE_CODE_BRIDGE_MCP_CARRIER	enum(["1","spent"])	4
CLAUDE_CODE_BRIDGE_OWNER_ACCOUNT_UUID	str()	4
CLAUDE_CODE_BRIDGE_OWNER_ORG_UUID	str()	4
CLAUDE_CODE_BRIDGE_PROMPT_SHA256	str()	4
CLAUDE_CODE_BRIDGE_SESSION_ID	str()	4
CLAUDE_CODE_BRIEF	bool()	4
CLAUDE_CODE_BRIEF_UPLOAD	bool()	4
CLAUDE_CODE_BUBBLEWRAP	bool()	2
CLAUDE_CODE_BYOC_ENABLE_DATADOG	bool()	1
CLAUDE_CODE_CARVED_SLATE	triBool()	2
CLAUDE_CODE_CCR_EARLY_HYDRATE_PREFETCH	bool()	2
CLAUDE_CODE_CCR_LAZY_SUBAGENT_HYDRATE	triBool()	2
CLAUDE_CODE_CCR_SURFACE	str()	4
CLAUDE_CODE_CERT_STORE	str()	6
CLAUDE_CODE_CHILD_SESSION	bool()	2
CLAUDE_CODE_CLASSIFIER_SUMMARY	str()	4
CLAUDE_CODE_CLIENT_CERT	str()	6
CLAUDE_CODE_CLIENT_KEY	str()	6
CLAUDE_CODE_CLIENT_KEY_PASSPHRASE	str()	6
CLAUDE_CODE_COLD_COMPACT	bool()	2
CLAUDE_CODE_CONTAINER_ID	str()	4
CLAUDE_CODE_COORDINATOR_FORCE_WORKER_INHERIT_MODEL	bool()	2
CLAUDE_CODE_COORDINATOR_WORKER_CHECKIN_SECONDS	int({min:1,max:86400,digitsOnly:!0})	4
CLAUDE_CODE_COWORK_FRAME_ARTIFACTS	bool()	2
CLAUDE_CODE_CUSTOM_OAUTH_URL	str()	0
CLAUDE_CODE_DAEMON_COLD_START	bool()	4
CLAUDE_CODE_DAPPER_LAGOON	triBool()	2
CLAUDE_CODE_DATADOG_FLUSH_INTERVAL_MS	int({min:1})	1
CLAUDE_CODE_DD_ERROR_TRACKING_FLUSH_INTERVAL_MS	int({min:1})	1
CLAUDE_CODE_DEBUG_LOGS_DIR	str()	1
CLAUDE_CODE_DEBUG_LOG_LEVEL	str()	1
CLAUDE_CODE_DEBUG_REPAINTS	bool()	1
CLAUDE_CODE_DECSTBM	str()	4
CLAUDE_CODE_DESIGN_OAUTH_CLIENT_ID	str()	0
CLAUDE_CODE_DEV_RAW_CHANGELOG_URL	str()	4
CLAUDE_CODE_DIAGNOSTICS_FILE	str()	1
CLAUDE_CODE_DIR_SYNC_DISABLE_ANCHORING	bool()	4
CLAUDE_CODE_DIR_SYNC_ENGINE	str()	4
CLAUDE_CODE_DIR_SYNC_FFWD	str()	4
CLAUDE_CODE_DIR_SYNC_GIT	bool()	4
CLAUDE_CODE_DIR_SYNC_STREAM	str()	4
CLAUDE_CODE_DISABLE_1M_CONTEXT	bool()	5
CLAUDE_CODE_DISABLE_ADAPTIVE_THINKING	bool()	2
CLAUDE_CODE_DISABLE_ADMIN_ENV_UNION	bool()	2
CLAUDE_CODE_DISABLE_ADVISOR_TOOL	bool()	2
CLAUDE_CODE_DISABLE_AGENT_VIEW	bool()	2
CLAUDE_CODE_DISABLE_ALTERNATE_SCREEN	bool()	2
CLAUDE_CODE_DISABLE_ARTIFACT	bool()	2
CLAUDE_CODE_DISABLE_ATTACHMENTS	bool()	2
CLAUDE_CODE_DISABLE_AUTO_MEMORY	bool()	2
CLAUDE_CODE_DISABLE_BACKGROUND_TASKS	bool()	2
CLAUDE_CODE_DISABLE_BEDROCK_CONTENT_TYPE_DEFAULT	bool()	2
CLAUDE_CODE_DISABLE_BEDROCK_CONTENT_TYPE_GUARD	bool()	2
CLAUDE_CODE_DISABLE_BG_EXIT_HANDOFF	bool()	2
CLAUDE_CODE_DISABLE_BG_SHELL_PRESSURE_REAP	bool()	4
CLAUDE_CODE_DISABLE_BUNDLED_SKILLS	bool()	2
CLAUDE_CODE_DISABLE_CFC_PROMPT	bool()	2
CLAUDE_CODE_DISABLE_CLAUDE_API_SKILL	bool()	2
CLAUDE_CODE_DISABLE_CLAUDE_CODE_SKILL	bool()	2
CLAUDE_CODE_DISABLE_CLAUDE_MDS	bool()	2
CLAUDE_CODE_DISABLE_CRON	bool()	2
CLAUDE_CODE_DISABLE_DIR_SYNC	bool()	4
CLAUDE_CODE_DISABLE_EXPERIMENTAL_BETAS	bool()	2
CLAUDE_CODE_DISABLE_EXPLORE_INHERIT_CAP	bool()	5
CLAUDE_CODE_DISABLE_EXPLORE_PLAN_AGENTS	bool()	2
CLAUDE_CODE_DISABLE_FAST_MODE	bool()	5
CLAUDE_CODE_DISABLE_FEEDBACK_SURVEY	bool()	2
CLAUDE_CODE_DISABLE_FILE_CHECKPOINTING	bool()	2
CLAUDE_CODE_DISABLE_GIT_INSTRUCTIONS	triBool()	2
CLAUDE_CODE_DISABLE_HOOK_FORWARDING	bool()	4
CLAUDE_CODE_DISABLE_LAUNCH_COMPOSER	bool()	2
CLAUDE_CODE_DISABLE_LEGACY_MODEL_REMAP	bool()	5
CLAUDE_CODE_DISABLE_MCP_TASK_BACKGROUND	bool()	2
CLAUDE_CODE_DISABLE_MEMORY_BULK_INFLATE	bool()	2
CLAUDE_CODE_DISABLE_MEMORY_MASS_DELETE_HOLD	bool()	2
CLAUDE_CODE_DISABLE_MEMORY_PERIODIC_RESYNC	bool()	2
CLAUDE_CODE_DISABLE_MEMORY_RO_UNSAVED_NOTICE	bool()	2
CLAUDE_CODE_DISABLE_MEMORY_STREAM_LIST	bool()	2
CLAUDE_CODE_DISABLE_MOUSE	triBool()	2
CLAUDE_CODE_DISABLE_MOUSE_CLICKS	triBool()	2
CLAUDE_CODE_DISABLE_MTLS_RELOAD_ON_STALE_CONNECTION	bool()	6
CLAUDE_CODE_DISABLE_NESTED_CHAIN_IDLE	bool()	2
CLAUDE_CODE_DISABLE_NESTED_USER_REPAIR	bool()	2
CLAUDE_CODE_DISABLE_NONESSENTIAL_TRAFFIC	bool()	2
CLAUDE_CODE_DISABLE_NONSTREAMING_FALLBACK	bool()	2
CLAUDE_CODE_DISABLE_NOTIFICATION_PRESENCE_CHECK	bool()	2
CLAUDE_CODE_DISABLE_OFFICIAL_MARKETPLACE_AUTOINSTALL	bool()	2
CLAUDE_CODE_DISABLE_ORG_MEMORY	bool()	2
CLAUDE_CODE_DISABLE_PERMISSION_PROMPT_NOTIFY_HOOKS	bool()	2
CLAUDE_CODE_DISABLE_PLUGIN_FORWARDING	bool()	4
CLAUDE_CODE_DISABLE_POLICY_SKILLS	bool()	2
CLAUDE_CODE_DISABLE_PRECOMPACT_SKIP	bool()	2
CLAUDE_CODE_DISABLE_REFUSAL_FALLBACK	bool()	2
CLAUDE_CODE_DISABLE_TERMINAL_TITLE	bool()	2
CLAUDE_CODE_DISABLE_THINKING	bool()	2
CLAUDE_CODE_DISABLE_UNKNOWN_MODEL_WINDOW_ENFORCEMENT	bool()	5
CLAUDE_CODE_DISABLE_VIRTUAL_SCROLL	bool()	2
CLAUDE_CODE_DISABLE_VITALS_EMITTER	bool()	4
CLAUDE_CODE_DISABLE_WORKFLOWS	bool()	2
CLAUDE_CODE_DISABLE_WORKING_SYNC	bool()	4
CLAUDE_CODE_DONT_INHERIT_ENV	bool()	4
CLAUDE_CODE_DOWNLOAD_DEADLINE_MS_FOR_TESTING	str()	4
CLAUDE_CODE_EAGER_FLUSH	bool()	6
CLAUDE_CODE_EDITOR_CODELIVERY	bool()	2
CLAUDE_CODE_EFFORT_LEVEL	str()	5
CLAUDE_CODE_EMIT_SESSION_STATE_EVENTS	bool()	4
CLAUDE_CODE_EMIT_TOOL_USE_SUMMARIES	bool()	4
CLAUDE_CODE_ENABLE_APPEND_SUBAGENT_PROMPT	bool()	2
CLAUDE_CODE_ENABLE_AWAY_SUMMARY	bool()	2
CLAUDE_CODE_ENABLE_BACKGROUND_PLUGIN_REFRESH	bool()	2
CLAUDE_CODE_ENABLE_CFC	triBool()	2
CLAUDE_CODE_ENABLE_DESIGN_SYNC	bool()	2
CLAUDE_CODE_ENABLE_EXPERIMENTAL_ADVISOR_TOOL	bool()	2
CLAUDE_CODE_ENABLE_FEEDBACK_SURVEY_FOR_OTEL	bool()	2
CLAUDE_CODE_ENABLE_FINE_GRAINED_TOOL_STREAMING	triBool()	2
CLAUDE_CODE_ENABLE_FUNCTION_HOOKS	triBool()	2
CLAUDE_CODE_ENABLE_GATEWAY_MODEL_DISCOVERY	bool()	7
CLAUDE_CODE_ENABLE_LAUNCH_COMPOSER	bool()	2
CLAUDE_CODE_ENABLE_MENU_KIND_LANES	bool()	2
CLAUDE_CODE_ENABLE_NARRATION	triBool()	2
CLAUDE_CODE_ENABLE_PROMPT_SUGGESTION	triBool()	2
CLAUDE_CODE_ENABLE_PROXY_AUTH_HELPER	bool()	0
CLAUDE_CODE_ENABLE_REFRESH_MCP_TOOLS	bool()	2
CLAUDE_CODE_ENABLE_REMOTE_RECAP	triBool()	2
CLAUDE_CODE_ENABLE_SDK_FILE_CHECKPOINTING	bool()	2
CLAUDE_CODE_ENABLE_TASKS	triBool()	2
CLAUDE_CODE_ENABLE_TODO_TOOLS	bool()	2
CLAUDE_CODE_ENABLE_TOKEN_USAGE_ATTACHMENT	bool()	2
CLAUDE_CODE_ENABLE_XAA	bool()	2
CLAUDE_CODE_ENHANCED_TELEMETRY_BETA	bool()	1
CLAUDE_CODE_ENTRYPOINT	str()	4
CLAUDE_CODE_ENVIRONMENT_KIND	str()	4
CLAUDE_CODE_ENVIRONMENT_RUNNER_VERSION	str()	4
CLAUDE_CODE_EVAL_CONFINED	bool()	4
CLAUDE_CODE_EVAL_INTERVIEW_SESSION	bool()	2
CLAUDE_CODE_EXIT_AFTER_FIRST_RENDER	bool()	4
CLAUDE_CODE_EXIT_AFTER_STOP_DELAY	int()	4
CLAUDE_CODE_EXPERIMENTAL_AGENT_TEAMS	bool()	2
CLAUDE_CODE_EXPERIMENTAL_OBSERVER_AGENTS	bool()	2
CLAUDE_CODE_EXTRA_BODY	str()	6
CLAUDE_CODE_EXTRA_METADATA	str()	6
CLAUDE_CODE_FEDERATION_CACHE_DIR	str()	0
CLAUDE_CODE_FILE_READ_MAX_OUTPUT_TOKENS	int()	6
CLAUDE_CODE_FLEETVIEW_SIMPLE	bool()	2
CLAUDE_CODE_FORCE_BRIDGE	bool()	4
CLAUDE_CODE_FORCE_EVALUATE_MEMORY	bool()	4
CLAUDE_CODE_FORCE_FULLSCREEN_UPSELL	bool()	4
CLAUDE_CODE_FORCE_MEMORY_SURVEY	bool()	4
CLAUDE_CODE_FORCE_MID_CONVERSATION_SYSTEM	bool()	2
CLAUDE_CODE_FORCE_SESSION_PERSISTENCE	bool()	2
CLAUDE_CODE_FORCE_STRIKETHROUGH	bool()	2
CLAUDE_CODE_FORCE_SYNC_OUTPUT	bool()	6
CLAUDE_CODE_FORCE_TIP_ID	str()	4
CLAUDE_CODE_FORCE_WINDOWS_CREDMAN	str()	2
CLAUDE_CODE_FORK_SUBAGENT	triBool()	2
CLAUDE_CODE_FORWARD_SUBAGENT_TEXT	bool()	2
CLAUDE_CODE_FRAME_TIMING_LOG	str()	1
CLAUDE_CODE_FRAME_TIMING_SAMPLE_EVERY	int()	1
CLAUDE_CODE_GATEWAY_TOKEN_FILE_DESCRIPTOR	str()	0
CLAUDE_CODE_GAULT_KESTREL	bool()	2
CLAUDE_CODE_GB_BASE_URL	str()	7
CLAUDE_CODE_GB_DISK_CACHE_WHEN_TELEMETRY_OFF	bool()	2
CLAUDE_CODE_GB_REFRESH_INTERVAL_MS	int()	7
CLAUDE_CODE_GENTLE_PARASOL	str()	2
CLAUDE_CODE_GIT_BASH_PATH	str()	4
CLAUDE_CODE_GLOB_HIDDEN	bool()	2
CLAUDE_CODE_GLOB_NO_IGNORE	bool()	2
CLAUDE_CODE_GLOB_TIMEOUT_SECONDS	int({min:1})	4
CLAUDE_CODE_GOAL_CHECKIN_MINUTES	int({min:0,max:10080,digitsOnly:!0})	4
CLAUDE_CODE_GORSE_PLOVER	bool()	2
CLAUDE_CODE_GZIP_CCR_REQUEST_BODIES	triBool()	6
CLAUDE_CODE_GZIP_REQUEST_BODIES	triBool()	6
CLAUDE_CODE_HARBOR_KITE	str()	2
CLAUDE_CODE_HARBOR_KITE_CLOUD	bool()	2
CLAUDE_CODE_HARBOR_KITE_PACING_OFF	bool()	2
CLAUDE_CODE_HFI_BEARER_TOKEN	str()	0
CLAUDE_CODE_HIDE_CWD	bool()	2
CLAUDE_CODE_HIDE_SETTINGS_HINT	str()	4
CLAUDE_CODE_HOLD_REPORT_PARK_AT_INIT	bool()	4
CLAUDE_CODE_HOLD_UNANSWERED_PARKED_PERMISSION	bool()	4
CLAUDE_CODE_HOME_SEED_HOLD_TIMEOUT_MS	int({min:0})	4
CLAUDE_CODE_HOME_SEED_VERDICT_TIMEOUT_MS	int({min:0})	4
CLAUDE_CODE_HOOKS_SAME_THREAD	bool()	2
CLAUDE_CODE_HOST_AUTH_ENV_VAR	str()	0
CLAUDE_CODE_HOST_AUTH_REFRESH_TIMEOUT_MS	int({min:1})	0
CLAUDE_CODE_HOST_CREDS_FILE	str()	0
CLAUDE_CODE_HOST_PLATFORM	str()	4
CLAUDE_CODE_HOVER_REST	triBool()	2
CLAUDE_CODE_HUMBLE_HAMMOCK	triBool()	2
CLAUDE_CODE_IDE_HOST_OVERRIDE	str()	4
CLAUDE_CODE_IDE_SKIP_AUTO_INSTALL	bool()	2
CLAUDE_CODE_IDE_SKIP_VALID_CHECK	bool()	2
CLAUDE_CODE_IDLE_THRESHOLD_MINUTES	int()	4
CLAUDE_CODE_IDLE_TOKEN_THRESHOLD	int()	4
CLAUDE_CODE_INCLUDE_PARTIAL_MESSAGES	bool()	2
CLAUDE_CODE_INTRO_FRAME	triBool()	2
CLAUDE_CODE_IS_COWORK	bool()	4
CLAUDE_CODE_JUNIPER_SUNDIAL	int({min:1,digitsOnly:!0})	2
CLAUDE_CODE_KB_COHESION_FIXES	bool()	2
CLAUDE_CODE_LANTERN_PRISM	bool()	2
CLAUDE_CODE_LARCH_CISTERN	bool()	2
CLAUDE_CODE_LEGACY_BUNDLE	bool()	4
CLAUDE_CODE_LOOP_KEEPALIVE	triBool()	4
CLAUDE_CODE_LOOP_PERSISTENT	bool()	4
CLAUDE_CODE_LUMINOUS_WHISTLE	triBool()	2
CLAUDE_CODE_MANAGED_SETTINGS_PATH	str()	4
CLAUDE_CODE_MAX_CONCURRENT_SUBAGENTS	int({min:1,digitsOnly:!0})	4
CLAUDE_CODE_MAX_CONTEXT_TOKENS	int()	6
